Concurso;Data do Sorteio;Coluna1;Coluna2;Coluna3;Coluna4;Coluna5;Coluna6;Ganhadores Faixa 1;Ganhadores Faixa 2;Ganhadores Faixa 3
1501;08/06/2013;1;7;13;29;37;54;1;238;11210
1502;12/06/2013;6;22;43;51;52;57;0;48;3580
1503;15/06/2013;3;4;16;22;36;42;0;111;8448
1504;19/06/2013;2;10;12;30;41;42;0;74;5957
1505;22/06/2013;1;2;6;9;16;32;0;263;15199
1506;26/06/2013;3;14;18;34;42;49;0;182;10892
1507;29/06/2013;24;46;50;51;52;56;0;93;7021
1508;03/07/2013;17;18;30;35;39;58;2;115;10276
1509;06/07/2013;1;6;27;46;51;59;0;71;5633
1510;10/07/2013;1;8;17;44;46;53;1;95;9101
1511;13/07/2013;4;8;17;29;31;45;0;138;7658
1512;17/07/2013;11;28;35;42;46;58;0;94;5874
1513;20/07/2013;17;28;31;56;57;58;0;44;4837
1514;24/07/2013;16;17;23;42;59;60;1;66;6219
1515;27/07/2013;4;13;14;18;49;59;1;111;8567
1516;31/07/2013;4;18;20;34;45;60;1;56;3946
1517;03/08/2013;7;17;38;45;52;56;0;60;5366
1518;06/08/2013;8;9;28;41;48;55;0;28;2892
1519;08/08/2013;5;6;15;23;56;59;0;72;5886
1520;10/08/2013;7;31;35;36;46;48;0;43;5886
1521;14/08/2013;11;14;18;30;33;39;1;134;9266
1522;17/08/2013;5;8;23;32;33;56;0;93;6765
1523;21/08/2013;22;25;31;39;41;44;0;61;4254
1524;24/08/2013;2;12;40;46;52;53;0;53;4637
1525;28/08/2013;2;26;30;35;46;54;0;67;6260
1526;31/08/2013;10;16;28;47;51;59;1;149;10735
1527;04/09/2013;16;32;36;42;44;48;0;92;5439
1528;06/09/2013;4;13;15;19;36;58;0;101;7347
1529;11/09/2013;11;15;17;34;35;49;1;75;6622
1530;14/09/2013;10;16;28;33;48;53;2;138;9644
1531;18/09/2013;12;13;24;41;42;44;0;108;5944
1532;21/09/2013;2;11;23;31;42;44;3;91;5676
1533;25/09/2013;13;21;29;34;47;57;0;89;5659
1534;28/09/2013;1;12;28;29;34;48;1;89;6196
1535;02/10/2013;8;9;25;41;54;55;0;63;6058
1536;05/10/2013;13;18;29;32;50;58;0;89;7408
1537;09/10/2013;6;10;33;50;51;56;1;209;11870
1538;11/10/2013;23;27;35;52;53;57;1;132;5238
1539;16/10/2013;8;10;20;26;49;58;0;53;4366
1540;19/10/2013;3;17;27;32;47;54;0;299;14429
1541;23/10/2013;5;24;37;44;49;58;0;205;12026
1542;26/10/2013;7;11;12;30;39;57;0;154;11783
1543;30/10/2013;7;15;20;23;30;41;0;182;13138
1544;01/11/2013;2;21;30;35;45;50;0;152;10385
1545;06/11/2013;4;6;11;24;45;48;1;680;45410
1546;09/11/2013;4;17;38;44;53;60;0;100;6673
1547;13/11/2013;2;9;10;18;21;28;1;227;11559
1548;16/11/2013;19;41;42;44;47;54;0;45;3429
1549;20/11/2013;10;12;16;20;32;53;1;66;6564
1550;23/11/2013;9;13;21;27;36;56;1;229;14109
1551;27/11/2013;2;15;19;21;23;38;1;131;7631
1552;30/11/2013;7;18;24;26;39;46;0;122;7839
1553;04/12/2013;20;21;22;29;46;60;0;48;3788
1554;07/12/2013;30;32;49;50;52;53;0;60;4098
1555;11/12/2013;2;5;23;33;52;59;0;167;13033
1556;14/12/2013;1;4;7;10;11;52;0;549;26705
1557;17/12/2013;4;16;18;31;45;46;0;123;8744
1558;19/12/2013;7;15;17;31;42;54;0;186;11538
1559;21/12/2013;8;12;16;29;37;58;1;317;16431
1560;31/12/2013;20;30;36;38;47;53;4;1147;90376
1561;02/01/2014;23;26;28;54;55;60;0;20;1669
1562;04/01/2014;10;12;23;37;47;51;0;59;4384
1563;09/01/2014;1;6;13;20;36;43;1;202;10395
1564;11/01/2014;25;38;44;46;53;54;1;71;5602
1565;15/01/2014;18;37;39;41;43;51;0;52;5157
1566;18/01/2014;5;6;11;32;36;60;1;133;8797
1567;22/01/2014;2;15;30;38;48;53;0;59;4463
1568;25/01/2014;19;24;25;28;42;58;0;103;7192
1569;29/01/2014;5;15;18;31;42;53;0;81;6718
1570;01/02/2014;15;18;24;42;46;56;0;225;11903
1571;05/02/2014;3;29;32;46;55;60;0;176;11857
1572;08/02/2014;20;27;42;45;46;47;0;93;11613
1573;12/02/2014;7;16;21;35;36;38;0;230;19015
1574;15/02/2014;6;27;28;33;46;48;0;459;29794
1575;19/02/2014;1;4;5;14;45;56;1;709;42590
1576;22/02/2014;13;15;21;26;30;46;0;88;5886
1577;26/02/2014;11;14;25;32;51;59;1;86;6004
1578;01/03/2014;3;6;30;37;53;56;0;107;6347
1579;05/03/2014;25;34;40;49;51;60;0;23;2180
1580;08/03/2014;1;6;14;17;33;36;2;378;20400
1581;12/03/2014;14;15;25;30;31;34;0;41;4202
1582;15/03/2014;1;4;13;17;38;48;1;125;10807
1583;19/03/2014;2;9;17;18;45;47;0;130;7907
1584;22/03/2014;3;22;27;28;50;54;0;97;7379
1585;26/03/2014;2;43;47;48;49;55;0;103;8235
1586;29/03/2014;8;39;43;46;47;58;0;150;10556
1587;02/04/2014;8;19;21;30;52;56;0;179;12440
1588;05/04/2014;23;29;32;36;45;49;2;353;21216
1589;09/04/2014;4;5;11;19;41;51;0;87;7815
1590;12/04/2014;7;20;34;40;44;55;0;89;8050
1591;16/04/2014;4;10;23;33;38;55;1;278;16180
1592;19/04/2014;31;36;38;41;42;49;0;23;2341
1593;23/04/2014;4;9;17;18;21;38;1;136;8689
1594;26/04/2014;6;7;8;23;43;53;0;71;6341
1595;30/04/2014;2;5;8;42;46;59;2;236;12387
1596;03/05/2014;1;5;7;10;12;45;1;380;16970
1597;07/05/2014;5;10;16;44;50;52;0;57;5638
1598;10/05/2014;29;31;36;42;47;53;0;121;6776
1599;14/05/2014;3;10;15;35;36;58;1;135;8922
1600;17/05/2014;9;23;32;35;46;57;1;110;8443
1601;21/05/2014;8;10;24;45;56;60;0;90;5373
1602;24/05/2014;8;12;22;35;40;44;1;69;6039
1603;28/05/2014;13;20;27;31;53;60;0;64;4652
1604;31/05/2014;2;21;24;27;40;51;0;62;5333
1605;04/06/2014;9;19;21;30;31;42;0;87;6694
1606;07/06/2014;1;15;37;42;46;54;1;101;9327
1607;11/06/2014;7;31;32;41;51;52;0;91;2820
1608;14/06/2014;5;6;17;43;54;59;0;79;5998
1609;18/06/2014;2;6;13;26;53;60;0;140;8573
1610;21/06/2014;1;4;9;35;36;53;0;173;9626
1611;25/06/2014;24;28;47;50;51;58;0;97;6367
1612;28/06/2014;6;13;17;36;42;51;2;261;16822
