CC,Data_Sorteio,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,Ganhador
2300,05/08/2021,1,2,3,4,8,9,13,15,16,17,19,22,23,24,25,0
2301,06/08/2021,3,5,9,10,12,13,15,16,17,18,19,20,22,24,25,2
2302,07/08/2021,3,4,6,7,8,10,11,12,13,14,16,17,18,20,21,1
2303,09/08/2021,1,3,5,7,8,10,11,12,15,18,19,20,21,22,24,9
2304,10/08/2021,1,2,6,8,9,11,12,13,14,16,18,20,21,22,24,1
2305,11/08/2021,1,5,7,8,10,11,14,16,17,18,19,22,23,24,25,0
2306,12/08/2021,1,4,5,6,7,8,9,11,14,15,16,18,20,21,22,1
2307,13/08/2021,1,4,5,6,8,9,11,12,13,14,15,17,19,20,23,0
2308,14/08/2021,1,2,3,4,6,10,15,17,18,19,20,22,23,24,25,1
2309,16/08/2021,1,3,4,7,9,10,11,12,13,17,18,19,22,24,25,8
2310,17/08/2021,1,3,5,6,7,10,11,13,16,18,20,22,23,24,25,6
2311,18/08/2021,1,3,4,5,9,10,12,13,14,15,18,19,20,21,25,0
2312,19/08/2021,1,2,3,6,7,10,11,12,14,15,18,20,21,22,25,2
2313,20/08/2021,4,5,6,7,8,10,11,12,14,15,18,19,20,22,25,0
2314,21/08/2021,1,2,7,8,9,11,13,14,15,17,19,20,23,24,25,5
2315,23/08/2021,3,7,8,11,12,13,14,16,17,18,19,21,22,23,25,0
2316,24/08/2021,2,3,4,5,6,9,10,13,14,15,16,17,19,24,25,3
2317,25/08/2021,1,2,3,5,6,7,9,14,15,16,17,20,21,23,25,0
2318,26/08/2021,2,5,6,7,8,11,13,16,17,18,19,20,21,24,25,0
2319,27/08/2021,2,3,8,12,13,14,15,16,17,19,21,22,23,24,25,1
2320,11/09/2021,1,2,3,5,6,9,12,13,15,17,21,22,23,24,25,57
2321,13/09/2021,1,2,6,7,8,9,10,12,13,14,15,17,22,23,24,0
2322,14/09/2021,1,2,5,6,7,11,12,13,14,16,18,21,22,23,24,0
2323,15/09/2021,1,4,7,8,11,13,14,16,17,19,21,22,23,24,25,5
2324,16/09/2021,1,2,3,5,8,9,10,11,13,14,16,17,19,20,25,1
2325,17/09/2021,1,2,3,4,5,6,7,8,9,14,17,18,21,23,25,1
2326,18/09/2021,2,3,4,5,6,8,11,12,13,14,16,20,22,23,25,1
2327,20/09/2021,1,2,3,4,6,7,8,11,13,15,17,19,20,21,25,1
2328,21/09/2021,3,4,5,6,7,8,9,11,14,15,17,20,21,23,25,2
2329,22/09/2021,1,3,4,5,10,11,12,13,14,16,17,18,19,20,24,2
2330,23/09/2021,2,4,5,8,10,11,12,13,14,15,16,18,20,22,23,4
2331,24/09/2021,3,4,5,7,8,9,10,13,14,15,16,20,22,24,25,3
2332,25/09/2021,1,4,6,7,8,9,10,11,14,17,18,20,22,24,25,0
2333,27/09/2021,1,4,6,7,8,9,10,11,13,15,17,18,19,20,23,2
2334,28/09/2021,2,3,5,7,13,14,16,17,18,20,21,22,23,24,25,2
2335,29/09/2021,2,3,4,5,6,7,9,13,15,16,19,21,22,24,25,0
2336,30/09/2021,1,3,4,6,10,11,12,13,14,16,17,18,20,22,25,1
2337,01/10/2021,1,2,4,5,6,8,9,10,11,14,16,19,20,21,24,3
2338,02/10/2021,1,2,3,4,5,7,8,10,11,12,13,15,16,19,21,1
2339,04/10/2021,1,3,6,7,8,10,11,14,18,19,20,22,23,24,25,2
2340,05/10/2021,2,5,7,8,9,11,12,13,14,17,18,20,22,23,25,6
2341,06/10/2021,2,4,5,7,9,11,12,14,15,19,20,21,22,24,25,3
2342,07/10/2021,1,2,3,4,9,10,13,15,16,18,19,20,21,22,25,0
2343,08/10/2021,1,2,5,9,12,15,16,17,18,19,20,22,23,24,25,1
2344,09/10/2021,1,3,4,6,7,9,10,11,12,13,16,17,19,20,21,2
2345,11/10/2021,3,6,7,9,10,11,12,14,16,17,19,20,23,24,25,2
2346,13/10/2021,1,4,5,8,10,11,12,14,16,17,18,19,21,22,25,2
2347,14/10/2021,2,3,5,6,8,9,11,13,15,16,17,19,21,24,25,11
2348,15/10/2021,1,2,5,8,9,11,13,14,15,17,19,20,22,23,24,5
2349,16/10/2021,2,5,6,9,10,11,12,15,16,17,18,20,21,22,23,0
2350,18/10/2021,2,3,4,5,6,7,8,9,10,15,17,19,21,22,25,1
2351,19/10/2021,1,3,4,5,6,7,8,9,10,12,14,15,20,23,24,1
2352,20/10/2021,3,4,7,8,11,12,15,16,17,18,20,22,23,24,25,1
2353,21/10/2021,1,2,3,7,8,12,13,14,15,16,18,20,23,24,25,2
